mz_aligned,foam_intensity,water_intensity
103.92029105316188,0.001484765961983464,0.0021458872084211553
108.02181009737374,0.001613993672800013,0.0012829121499741958
111.00917234743343,0.0014299729859681538,0.0008092434872391839
115.07682632504923,0.0012204755464766983,0.0009080602042420635
115.92116500633631,0.0020537588133313304,0.006173225740173205
116.92888256050641,0.0019923102705495157,0.0011178503159472396
119.91525276065802,0.0009425092028024058,0.0007743049526154033
121.02979679835931,0.0016960651065967196,0.0013462179068550908
125.0245849572957,0.000907221987992486,0.0007092736875465624
127.03957566912227,0.0008230289728251641,0.0007725723425743851
127.07572559074397,0.0008827583838580433,0.0007290174040077385
129.05536126133612,0.0014811666612943005,0.0009989659411396353
129.09112009080945,0.0013497260031991984,0.001167806768029823
135.04400035351307,0.000950525032087401,0.0009046087036489167
137.02323209387902,0.0008853233192526364,0.0007088420885666675
140.07041684314225,0.000903936064721866,0.0006820568847842876
143.1060695308643,0.0011751997251101835,0.0007771320550583169
145.04888089295446,0.0011091955978789288,0.001328126662479242
157.12009898326778,0.0008081394836754277,0.0006796633988931646
157.1268396940074,0.0008650812788058741,0.0007738852169582542
185.15751347511278,0.00093463023123725,0.0007516202619535292
199.17090668215818,0.0024053183888577082,0.0020143818722695313
211.13454725541587,0.0009111940157119392,0.003931220761025278
219.1757711048972,0.002500108033496164,0.0011533679744079172
220.14777781195633,0.0018768618001876068,0.0010886432188614477
223.02823590393712,0.0009194969403812909,0.0006918607508419958
227.2021105640853,0.0008247283213701846,0.0012725847643610317
233.15496400921853,0.0009923127974476387,0.0008059935017269641
234.98213669430564,0.0009254102069313191,0.0006860711265305397
247.17083787999528,0.0009648116591584024,0.0007019069676357968
249.15082622052208,0.0008799831921899535,0.0007899333066269225
250.85397644456776,0.0008056593197874671,0.0006781346443164723
251.16537511233366,0.0009553414298870103,0.0008373546392713158
255.23344215877313,0.004701025977216111,0.01917730429565526
277.14158253046435,0.0036031139733964496,0.003548423455762738
283.2612384884377,0.002093668703456142,0.0010621520963585624
311.1628518121785,0.0008933074189545404,0.001117604656393238
350.21560412917415,0.0009411498004232162,0.0008008145560768517
360.29780657062577,0.008599850490204473,0.00934790287960257
103.92031600116907,0.0008759419710423133,0.0022331575228715823
108.02187119062124,0.002100204806430888,0.001451509173476526
111.00914734288841,0.0011760625403997873,0.0008030223446507087
115.07674043076888,0.001270682642024978,0.0008435093633929896
115.92111580606354,0.0016901181034718984,0.002548414591358858
116.92887207168964,0.00196104783866949,0.004128412427488789
121.02973382395663,0.0017105116240066119,0.001570951689373314
123.00921595859776,0.0008125430146107161,0.0007930772485603123
125.02479417541963,0.0010283780560405298,0.0007915346937918546
127.03957566911863,0.0008446155065699046,0.000865226587979512
129.0547340461247,0.0013802538761164532,0.0017189723848446145
129.0917475713053,0.0012552811788492772,0.001277287724449547
135.04400035351853,0.000803675169562892,0.0007678348416550179
138.0548777366644,0.0009230610709301604,0.0007232429518369369
139.0385812642301,0.000995834685599742,0.0007004147714618517
140.0704168431468,0.0008290586448938828,0.0006997411445573671
143.10606953086338,0.0012308810338810172,0.0011077969973003663
145.04888089295628,0.0010937046802159582,0.0011611035064611887
157.1268396940083,0.0008425089298515344,0.0007738852169582542
199.1708979483315,0.0025579797347816662,0.0020143818722695313
219.17602623243647,0.001966662828024253,0.001361014779137018
220.14789377107562,0.0019344314970075412,0.0010995389141261489
223.0297951474014,0.0007894006800131335,0.0008831824129297318
227.20244797829596,0.0008703192404338442,0.0015519792502963667
233.15660662708726,0.0008525763825106906,0.0006742299567241481
234.9822608801028,0.0009142179787799889,0.0006860711265305397
247.17024061200155,0.0009729509662185604,0.0008404003658048306
249.15066856850675,0.001009403765351919,0.0006879650616203258
255.23332934068475,0.004537807854941949,0.0015281635088298501
277.1415825304607,0.0036934683575165256,0.003773264250294301
283.261238488445,0.0019207589138261834,0.0010860263474100499
