Name,Monoisotopic_mass,Formula
"2,2,3,3,4,4,4-Heptafluorobutanimidamide--hydrogen chloride (1/1)",212.0184455,C4H3F7N2
"[N(E),S(S)]-N-(4-nitrophenyl)methyleneperfluorobutanesulfinamide",415.9877166,C11H5F9N2O3S
2-(Perfluorobutyl)ethyl acrylate,318.0302333,C9H7F9O2
"perfluorobutanesulfonamido amine carboxylic acid B, n=4",456.0765316,C12H17F9N2O4S
"1,1,1,2,2,3,3-Heptafluoroundecane",282.1218479,C11H17F7
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluoropentacosane",802.1713559,C25H27F25
"Praseodymium, tris(6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-octanedionato-?O3,?O5)-",296.064727,C10H11F7O2
"Perfluoroalkyl N-heterocycles, m+n+p=6",437.9849357,C9HF15N2O
"12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,19-Heptadecafluorononadecan-1-ol",590.1477448,C19H23F17O
"N-(4-Bromophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",366.9442741,C10H5BrF7NO
"Sodium 4-(perfluoro(3,4-dimethylhex-3-en-2-yloxy))benzene-1-sulfonate",553.9669024,C14H5F15O4S
"{[(2,2,3,3,4,4,4-Heptafluorobutyl)sulfanyl]methyl}benzene",306.0313184,C11H9F7S
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=3, m=20",1200.511362,C46H81F13O20
"N-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl)prop-2-enamide",453.0209868,C11H6F15NO
"(3E)-5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluorodeca-1,3-diene",372.0183668,C10H5F13
"4,4,5,5,6,6,7,7,8,8,8-Undecafluorooctan-1-ol",328.032125,C8H7F11O
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-Pentadecafluoro-9-iodotetradecane",593.9900714,C14H14F15I
"N,N-Bis(2-hydroxyethyl)-4-(perfluoro(4-ethyl-3,4-dimethylhex-2-en-2-yl)oxy)benzenesulfonamide",741.0289291,C20H14F19NO5S
Methyl 4-(undecafluoropentyl)cyclohexane-1-carboxylate,410.0739899,C13H13F11O2
"Phenol, 2-amino-4-(heptafluoropropyl)-",277.0337612,C9H6F7NO
2-[Methyl[(perfluorohexyl)ethylsulfonyl]amino]ethyl 2-propenoate,539.0435953,C14H14F13NO4S
"perfluoroalkanesulfonamido sulfonate betaine B, n=5",572.050888,C13H19F11N2O6S2
"2,2,3-Trifluoro-3-(nonafluorobutyl)oxirane",315.975753,C6F12O
"N,N,N-Trimethyl-3-(carboxymethyl(perfluorooctylsulfonyl)amino)-1-propanaminium",656.0637572,C16H17F17N2O4S
"Silver, (6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-octanedionato-?O3,?O5)-",296.064727,C10H11F7O2
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-Icosafluoroundecyl acrylate",586.0048434,C14H6F20O2
"3-(2-Chloro-4-fluorobenzamido)-2-fluoro-N-[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]benzamide",582.0756593,C25H16ClF9N2O2
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=7, m=15",1380.354739,C44H61F29O15
"2-Bromo-1,3-dichloro-5-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)benzene",391.8605158,C9H2BrCl2F7
4-Chloro-2-(heptafluoropropyl)pyrimidine,281.9794732,C7H2ClF7N2
8:2 Fluorotelomer methacrylate,532.0331089,C14H9F17O2
1-Hydroperfluoroheptane,369.983873,C7HF15
"(2H-Perfluoroethyl)(1H,1H,3H-perfluoropropyl)ether",232.0134403,C5H4F8O
"1,1,2,3,3,3-Hexafluoro-1-propene",149.9904192,C3F6
"1,1,1,2,2,3,3,4,4,5,5,6,6,9,9,10,10,11,11,11-Icosafluoroundecane",515.9993641,C11H4F20
"2-Propenoic acid, 2-methyl-, 2-[ethyl[(tridecafluorohexyl)sulfonyl]amino]ethyl ester",539.0435953,C14H14F13NO4S
"n:2 perfluoroalkyl acrylates, n=7",496.0519526,C14H11F15O2
(Heptadecafluorooctyl)phosphonic acid--4-methylaniline (1/1),499.9470098,C8H2F17O3P
"Diammonium 3,3,4,4,5,5,6,6,7,7,8,8,9,10,10,10-hexadecafluoro-9-(trifluoromethyl)decyl phosphate",593.970031,C11H6F19O4P
"Thiophene, 3-(heptadecafluorooctyl)-",501.9684002,C12H3F17S
"n:2 fluorotelomer thio alkyl amido betaine-related, n=4",680.1001427,C19H21F17N2O3S
Trichloroheptafluorobutane,285.8953805,C4Cl3F7
"6-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-3-{[(pyridin-3-yl)methyl]amino}-3,4-dihydroquinazolin-2(1H)-one",422.0977585,C17H13F7N4O
"3-(Ethylsulfanyl)-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2-methylbenzoic acid",364.0367977,C13H11F7O2S
"1,1,1,2,2,3,3,4,4,5,5,14,14,15,15,16,16,17,17,18,18,18-Docosafluorooctadecane",650.0900709,C18H16F22
"Poly(difluoromethylene), .alpha.-fluoro-.omega.-(2-hydroxyethyl)-, dihydrogen 2-hydroxy-1,2,3-propanetricarboxylate|Poly(oxy-1,2-ethanediyl), alpha-hydro-omega-hydroxy-, ether with alpha-fluoro-omega-(2-hydroxyethyl)poly(difluoromethylene) (1:1)|Poly(difluoromethylene), .alpha.-fluoro-.omega.-(2-hydroxyethyl)-",114.0292494,C3H5F3O
"1,1,2,2,3,3,4,4,4-Nonafluoro-N,N-bis(2-methoxyethyl)butane-1-sulfonamide",415.0499825,C10H14F9NO4S
Perfluorotrihexylamine,970.9407988,C18F39N
"2,2,3,3,4,4,5,5,5-Nonafluoro-N-methylpentanamide",277.0149176,C6H4F9NO
"1h,1h-perfluorohexyl p-toluenesulfonate",454.0096751,C13H9F11O3S
"1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Icosafluoro-12-iodo-2-(trifluoromethyl)dodecane",723.8990467,C13H4F23I
"Perfluoro-3,6-dioxaoctanoic acid",345.9699187,C6HF11O4
N-[(Heptadecafluorooctyl)sulfonyl]-N-propylglycine,599.0059079,C13H10F17NO4S
"12,12,13,13,14,14,15,15,15-Nonafluoropentadecanoyl chloride",422.1058968,C15H20ClF9O
Perfluorocyclohexanecarbonyl fluoride,327.975753,C7F12O
"2,2,3,3,4,4,5,6,6,7,7,7-Dodecafluoro-5-(trifluoromethyl)heptanoic acid",413.9737023,C8HF15O2
"N-(4-Chlorophenyl)-2,2,3,3,4,4,4-heptafluorobutanamide",322.9947889,C10H5ClF7NO
"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-[(oxiran-2-yl)methyl]-N-propyloctane-1-sulfonamide",597.0266434,C14H12F17NO3S
Pentadecafluoroheptyl 2-methylprop-2-enoate,454.0050024,C11H5F15O2
"perfluoroalkylamido ammonium, n=6",448.0820297,C12H13F13N2O
"4-Chloro-2-fluoro-N-(3-{[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]carbamoyl}phenyl)benzamide",564.0850811,C25H17ClF8N2O2
"1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluoro-N,N-bis(2-methoxyethyl)hexane-1-sulfonamide",515.0435953,C12H14F13NO4S
(Perfluoroethyl)methyl iodide,259.9121391,C3H2F5I
3-(Heptadecafluorooctyl)oxan-2-ol,520.0331089,C13H9F17O2
4-Nitrophenyl heptafluorobutanoate,335.002855,C10H4F7NO4
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N-octylnonanamide",575.1116936,C17H18F17NO
"Tetratriacontafluoro-10,13,16,19-tetraoxaoctacosadiene",1010.019268,C24H12F34O4
"1-Iodo-1H,1H-nonafluoropentane",359.9057519,C5H2F9I
4:2 Fluorotelomer unsaturated aldehyde,241.9977903,C6H2F8O
"1,3-Bis[4-(ethenyloxy)butyl] 2-(perfluorohexyl)ethylpropanedioate",646.1600052,C23H27F13O6
Methyl perfluorohexadecanoate,827.9638035,C17H3F31O2
"H-substituted Perfluoroalkyl (linear) carboxylic acids_i, n=9",545.9735433,C11H2F20O2
(2H-Perfluoroethoxy)methyloxirane,174.0303922,C5H6F4O2
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,25,25,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,36-Pentacontafluorohexatriacontane",1406.107961,C36H24F50
Perfluoro-4-isopropoxybutanoic acid,379.9718105,C7HF13O3
Perfluorooctanesulfonamido betaine,642.0481071,C15H15F17N2O4S
AC1LC6EI,280.0082748,C7H3F7N2O2
"perfluoroalkanesulfonamido quaternary diol sulfonic acid, n=5",616.0771028,C15H23F11N2O7S2
3-(Heptafluoropropyl)-5-methyl-1H-pyrazole,250.0340956,C7H5F7N2
"7-Bromo-1,1,1,2,2,3,3-heptafluoroheptane",303.9697606,C7H8BrF7
"N,N'-(Propane-1,2-diyl)bis(2,2,3,3,4,4,4-heptafluorobutanamide)",466.0362223,C11H8F14N2O2
3-Ethoxyperfluoro(2-methylhexane),414.0100878,C9H5F15O
"1-(4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-1-oxononyl)-2,5-pyrrolidinedione",473.0296597,C13H8F13NO3
Sodium perfluorodecanoate,513.9673151,C10HF19O2
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Nonadecafluoroundecan-1-ol",514.0037006,C11H5F19O
"2-(Heptadecafluorooctyl)butane-1,4-diol",508.0331089,C12H9F17O2
"perfluoroalkanesulfonamido betaine C, n =6",584.1014445,C16H21F13N2O4S
"Dichloropalladium--tris[3-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]phosphane (1/2)",1600.080125,C48H24F51P
"15-Bromo-1,1,1,2,2,3,3,4,4-nonafluoropentadecane",452.0761174,C15H22BrF9
5-(Heptafluoropropyl)-1H-pyrrole-2-carbaldehyde,263.0181112,C8H4F7NO
"N,N-Dibutyl-2,3,3,3-tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propanamide",607.1015228,C17H18F17NO3
"Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,13,13,13-icosafluoro-2-hydroxy-12-(trifluoromethyl)tridecyl phosphate",723.9742084,C14H8F23O5P
N-Ethyl--N-(2-hydroxyethyl)perfluoroheptanesulfonamide,521.0141869,C11H10F15NO3S
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluoro-10-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)sulfanyl]decane",925.9803798,C20H8F34S
"1,1,1,2,2,3,3,4,4,5,5-Undecafluorononadecane",466.2093611,C19H29F11
"n:2 fluorotelomer thioamido ammonium, n=3",552.1116153,C16H21F13N2O2S
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-chloroacrylate",451.9848737,C11H6ClF13O2
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluoro-10-iodohexadecane",658.0025279,C16H16F17I
"n:1 fluorotelomer carboxylic acids, n=9",527.9829651,C11H3F19O2
"1,1,1,2-Tetrafluoro-2-(heptafluoropropoxy)-4-iodobutane",439.9131229,C7H4F11IO
"1H,1H,2H,2H-Perfluorodecyltrimethoxysilane",568.0362502,C13H13F17O3Si
"Ethyl 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propanoate",358.0063042,C8H5F11O3
"1-[4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)phenyl]ethan-1-one",288.0385122,C11H7F7O
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=4, m=18",1212.452545,C44H73F17O18
"5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluorodecan-1-ol",392.0445815,C10H9F13O
"6-Bromo-8-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)quinolin-5-amine",389.9602585,C12H6BrF7N2
"n:3 fluorotelomer betaine-related, n=5",713.0657273,C18H14F23NO2
3-Perfluoroheptylpropanoic acid,442.0050024,C10H5F15O2
"(3,3,4,4,5,5,6,6,6-Nonafluorohexyl)di(propan-2-yl)silane",362.1112309,C12H19F9Si
"2-Propenoic acid, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl ester",511.0122951,C12H10F13NO4S
"(5E)-1,1,1,2,2,3,3,4,4-Nonafluoro-6-iodododec-5-ene",455.9996522,C12H14F9I
"1-Amino-4,4,5,5,6,6,7,7,8,8,9,9,10,11,11,11-hexadecafluoro-10-(trifluoromethyl)undecan-2-ol",543.0302497,C12H8F19NO
Potassium henicosafluoroundecanoate,563.9641215,C11HF21O2
"N-methyl perfluoroalkanesulfonamido quaternary ammonium, n=5",463.0913338,C12H18F11N2O2S
"double bond-perfluoroalkyl alcohols, n=7",497.9724005,C10HF19O
"perfluoroalkanesulfonamido sulfonate betaine C, n=5",586.0665381,C14H21F11N2O6S2
"4-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)phenol",262.0228622,C9H5F7O
3-(Perfluorohexyl)propanol,378.0289314,C9H7F13O
Potassium N-[(heptadecafluorooctyl)sulphonyl]-N-methylglycinate,570.9746078,C11H6F17NO4S
"(4E)-1,1,1,2,2,3,3-Heptafluorodec-4-ene",266.0905478,C10H13F7
Sodium heptadecafluorononanoate,463.9705087,C9HF17O2
"1-{[1-(1,2-Dibromo-1,2,2-trifluoroethoxy)-1,1,2,3,3,3-hexafluoropropan-2-yl]oxy}-1,1,2,2,3,3,3-heptafluoropropane",589.8009562,C8Br2F16O2
"3-(Perfluorooctyl)-1,2-propenoxide",476.0068942,C11H5F17O
(Perfluorooctyl)phenylmethanol,526.0225442,C15H7F17O
"3,5,6-Trichloro-2,2,3,4,4,5,6,6-octafluorohexanoyl chloride",379.8575511,C6Cl4F8O
"4-(1H,1H,2H,2H-Perfluorodecylthio)phenol",572.010265,C16H9F17OS
"perfluoroalkanesulfonamido quaternary ammonium diol B, n=7",623.1060759,C16H22F15N2O4S
1-[4-(Tridecafluorohexyl)phenyl]pyridin-4(1H)-one,489.0398305,C17H8F13NO
"Ethyl 4,4,5,5,6,6,6-heptafluoro-3-hydroxyhexanoate",286.0439915,C8H9F7O3
"3-Pyridinecarboxamide, N-[4-(nonafluorobutoxy)phenyl]-",432.0520313,C16H9F9N2O2
"2,2,3,3,4,4,4-Heptafluorobutyl hydrogen phosphate",279.9735425,C4H4F7O4P
"4,4,5,5,6,6,6-Heptafluoro-1-phenylhexane-1,3-dione",316.0334269,C12H7F7O2
Bis(2-hydroxyethyl)ammonium perfluorobutanesulfonate,105.0789786,C4H11NO2
"2,4-Bis[3,4,4,4-tetrafluoro-3-(trifluoromethyl)butyl]-1lambda~6~,3lambda~6~-dithietane-1,1,3,3-tetrone",547.9796951,C12H10F14O4S2
"Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic)acid",661.9456717,C12HF23O5
"H-substitued ,ether-substituted perfluoroalkyl (linear)sulfonic acids, n=8",597.9354433,C10H2F20O4S
"1-Hexanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-N-methyl-",412.9755157,C7H4F13NO2S
"Trichloro(3,3,4,4,5,5,5-heptafluoropentyl)silane",329.9036071,C5H4Cl3F7Si
"2-{1,2,2,2-Tetrafluoro-1-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]ethyl}-1H-benzimidazole",568.0079568,C15H5F17N2O2
"perfluoroalkanesulfonamido quaternary ammonium oxide, n=4",400.0503168,C9H13F9N2O3S
"perfluoroalkanesulfonamido quaternary ammonium disulfonate B, n=6",760.0463738,C17H25F13N2O10S3
N-(4-Nitrophenyl)perfluorobutanamide,334.0188394,C10H5F7N2O3
"perfluoroalkanesulfonamido sulfonate betaine A, n=6",606.0527798,C14H19F13N2O5S2
Nonafluoropentanoyl chloride,281.9493961,C5ClF9O
2-(Nonafluorobutyl)-1-benzothiophene,351.9968247,C12H5F9S
"1-(Butylsulfanyl)-3,4,4,5,5,6,6,6-octafluorohex-2-ene",316.0531967,C10H12F8S
"n:2 perfluoroalkyl acrylates, n=5",396.0583398,C12H11F11O2
"N-ethyl perfluorohexanesulfonamido polyethylene glycol, n=6, m=2",559.06981,C14H18F13NO5S
"n:2 fluorotelomer sulfonic acids, n=12",727.9560198,C14H5F25O3S
"2,3,4,4,5,5,5-Heptafluoro-2-(pentafluoroethyl)-3-(trifluoromethyl)pentanoic acid",413.9737023,C8HF15O2
Heptafluoroisopropyl methyl ether,200.0072121,C4H3F7O
Perfluorohexanesulphonyl fluoride,401.9395448,C6F14O2S
"double bond-perfluoroalkyl (linear) carboxylic acids_5_n, n=6",675.9577343,C14HF25O2
"1,2-Dibromoperfluoroheptane",507.8143206,C7Br2F14
Potassium tridecafluoroheptanoate,363.9768959,C7HF13O2
"N,N'-bis(Perfluorobutanoyl)1,5-pentanediamine",494.0675224,C13H12F14N2O2
"Furan, 2,2,3,3,4,5,5-heptafluorotetrahydro-4-(nonafluorobutyl)-",415.9693658,C8F16O
"1,1,1,5,5,6,6,10,10,10-Decafluoro-3,3,8,8-tetrakis(trifluoromethyl)-2,4,7,9-tetraoxadecane",601.9445289,C10F22O4
"6-(Nonafluorobutyl)-2-sulfanylidene-2,3-dihydropyrimidin-4(1H)-one",345.9822373,C8H3F9N2OS
"perfluoro(5,6,9,12-tetramethyl-4,7,10,13-tetraoxahexadecane)",901.9253673,C16F34O4
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluorotriacontane",728.3249808,C30H45F17
N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,571.0109933,C12H10F17NO3S
"double bond-, ether-substituted perfluoroalkyl (linear) carboyxlic acids, n=0",241.9813913,C5HF7O3
"(2Z)-4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-iodonon-2-en-1-ol",501.9099293,C9H4F13IO
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-iodonon-2-en-1-ol",501.9099293,C9H4F13IO
"1,1,1,2,2,3,3,4,4-Nonafluoro-8-iodooctane",401.9527021,C8H8F9I
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Henicosafluorododecane",548.0055924,C12H5F21
"1,1,3,5,5-Pentamethyl-1,5-bis(3,3,4,4,5,5,6,6,6-nonafluorohexyl)trisiloxane",686.0796671,C17H24F18O2Si3
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,24-Tetratriacontafluoro-10,15-diiodotetracosane",1201.864205,C24H14F34I2
"3-Acetyl-5,5,6,6,7,7,8,8,8-nonafluorooctane-2,4-dione",346.0251479,C10H7F9O3
"Cl-substituted perfluoroalkyl (linear) carboyxlic acids_i, n=3",229.9569262,C4HClF6O2
"(2E)-4,4,5,5,6,6,6-Heptafluorohex-2-ene",210.0279476,C6H5F7
1-Propenylperfluoropropane,210.0279476,C6H5F7
"ketone perfluoroalkyl (linear) carboxylic acids, n=5",427.9387958,C7HF13O4S
"1,1,2,2,3,3,4,4-Octafluoro-N-(2-hydroxyethyl)-N-methylbutane-1-sulphonamide",339.0175395,C7H9F8NO3S
"1,2,4,5-Tetrafluoro-3-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-(trichloromethyl)benzene",433.8889933,C10Cl3F11
"Perfluoro-3,5,5-trimethylhexanoic acid",463.9705087,C9HF17O2
10:2 Fluorotelomer iodide,673.9022403,C12H4F21I
"1,1,1,2,2,3,3-Heptafluoro-6-iodo-4,4-bis(trifluoromethyl)decane",529.977615,C12H12F13I
"H-substituted Perfluoroalkyl (linear) carboxylic acids_i, n=5",345.9863177,C7H2F12O2
Caesium perfluoroheptanoate,363.9768959,C7HF13O2
Methyl perfluoropentyl ketone,312.0008249,C7H3F11O
"Cyclohexane, decafluorobis(trifluoromethyl)- (6CI,7CI,8CI,9CI)",399.9744512,C8F16
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=4, m=13",992.3214712,C34H53F17O13
"2,2,3,3,4,4,4-Heptafluoro-N-(2-methylpropyl)butanamide",269.0650614,C8H10F7NO
"2,3,3,3-Tetrafluoro-2-(heptafluoropropoxy)-1-(piperidin-1-yl)propan-1-one",397.0535888,C11H10F11NO2
"1-[Difluoro(iodo)methoxy]-1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethane",377.879931,C4F9IO2
"4,4,5,5,6,6,7,7,7-Nonafluoro-2-iodoheptan-1-ol",403.9319666,C7H6F9IO
Bis(2-(perfluoro-7-methyloctyl)ethyl) hydrogen phosphate,1089.963167,C22H9F38O4P
3-(Perfluoropropyl)-2-propanone,226.0228622,C6H5F7O
"6-(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)-1,3-benzothiazol-2(3H)-one",318.9901819,C10H4F7NOS
"N-ethyl perfluorooctanesulfonamido polyethylene glycol, n=8, m=2",659.0634228,C16H18F17NO5S
Silver perfluorooctanoate,413.9737023,C8HF15O2
"6-Methyl-2-(undecafluoropentyl)-1,3-benzoxazole",401.027374,C13H6F11NO
"N-methyl perfluoroalkanesulfonamido quaternary ammonium, n=6",513.0881402,C13H18F13N2O2S
Lithium perfluoroheptanesulfonate,449.9406876,C7HF15O3S
"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-1-(morpholin-4-yl)heptan-1-one",433.0347451,C11H8F13NO2
"(3?,5?,6?)-5,6-Epoxy-25,26,26,26,27,27,27-heptafluorocholestan-3-ol",528.2838279,C27H39F7O2
"(3ß,5a,6a)-5,6-Epoxy-25,26,26,26,27,27,27-heptafluorocholestan-3-ol|(3ß,5ß,6ß)-5,6-Epoxy-25,26,26,26,27,27,27-heptafluorocholestan-3-ol",528.2838279,C27H39F7O2
"(3?,5?,6?)-5,6-Epoxy-25,26,26,26,27,27,27-heptafluorocholestan-3-ol",528.2838279,C27H39F7O2
Perfluorobutyrylamidine,212.0184455,C4H3F7N2
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctan-2-ol",364.0132814,C8H5F13O
PFDeS,599.9311068,C10HF21O3S
Perfluorodecanesulfonic acid (PFDS),599.9311068,C10HF21O3S
Perfluorodecane sulfonic acid,599.9311068,C10HF21O3S
Perfluorotetradecane,737.952096,C14F30
"perfluoroalkylamido betaine-related, n=13_pos",856.0651538,C21H15F27N2O3
"1H,1H-Perfluorooctylamine",399.0104221,C8H4F15N
"N,N,N-Tripropylpentan-1-aminium nonafluorobutane-1-sulfonate",214.253475,C14H32N
"Potassium 2,3,4,5-tetrachloro-6-[[[3-[[(heptadecafluorooctyl)sulphonyl]oxy]phenyl]amino]carbonyl]benzoate",874.8398479,C22H6Cl4F17NO6S
"2,2,3-Trifluoro-3-(heptafluoropropyl)oxirane",265.9789466,C5F10O
4-(Nonafluorobutoxy)aniline,327.0305676,C10H6F9NO
"Ammonium 2,3,3,3-tetrafluoro-2-[(undecafluoropentyl)oxy]propanoate",429.9686169,C8HF15O3
Potassium undecafluorohexanoate,313.9800895,C6HF11O2
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-Pentadecafluoro-9-iodododecane",565.9587713,C12H10F15I
1-(Heptafluoropropyl)-4-methoxybenzene,276.0385122,C10H7F7O
Potassium heptadecafluorononanoate,463.9705087,C9HF17O2
Perfluoroheptanoyl chloride,381.9430089,C7ClF13O
"1,1,1,2,2,3,3,4,4,11,11,12,12,13,13,14,14,14-Octadecafluoro-6,9-diiodotetradecane",773.8584539,C14H10F18I2
N-(4-Hydroxybutyl)-N-methylperfluorooctanesulfonamide,585.0266434,C13H12F17NO3S
"1,1,2,2,3,3,4,4,5,5-Decafluoro-1-((trifluorovinyl)oxy)pentane",347.9819813,C7HF13O
Perfluoro-7-(trifluoromethyl)octanoic acid ethanamine,463.9705087,C9HF17O2
"1,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooct-1-ene",381.983873,C8HF15
"(1Z)-1,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooct-1-ene",381.983873,C8HF15
1-((3-(Dimethylamino)propyl)amino)-(3-(perfluoro-9-methyldecyl))propanol,728.1130118,C19H19F23N2O
"3-(Butylsulfanyl)-2-ethyl-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)benzoic acid",406.0837479,C16H17F7O2S
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-Nonadecafluorooctadecane",596.1183364,C18H19F19
"4,4-Bis[(3,3,4,4,5,5,6,6,6-nonafluorohexyl)sulfanyl]pentanoic acid",658.0304288,C17H16F18O2S2
Bis((perfluoro-11-methyldodecyl)ethyl) hydrogen phosphate,1489.937618,C30H9F54O4P
Potassium perfluoro-p-ethylcyclohexanesulfonate,461.9406876,C8HF15O3S
Potassium perfluoro-p-ethylcyclohexanesulfonate,461.9406876,C8HF15O3S
(2S)-2-Pyrrolidinyl-bis(4-(perfluorohexyl)phenyl)methanol,889.0894974,C29H17F26NO
"1H,1H,2H-Perfluorocyclopentane",196.0122975,C5H3F7
Perfluoromethoxy perfluoropentane sulfonic acid,415.9387958,C6HF13O4S
"5-(Perfluoropropyl)-2,2-dimethyl-3,5-pentanedione strontium(2+) (2:1)",296.064727,C10H11F7O2
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-N,N-diphenylnonanamide",615.0490934,C21H10F17NO
"1,1,1,2,2,3,3,4,4-Nonafluoro-6-iodoheptane",387.937052,C7H6F9I
"Sodium {[2-(dimethylamino)ethyl](1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)amino}acetate",628.032457,C14H13F17N2O4S
"Perfluorooctanoate N,N,N-trimethylmethanaminium",413.9737023,C8HF15O2
tert-Butyl heptafluorobutaneperoxoate,286.0439915,C8H9F7O3
Perfluorononane sulfonamido ammonium iodide,633.0679947,C15H16F19N2OS
Hexafluoroamylene glycol,212.0271986,C5H6F6O2
"Methyl 4,4,5,5,6,6,6-heptafluoro-3,3-dihydroxyhexanoate",288.0232561,C7H7F7O4
"Ammonium 2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-icosafluoroundecanoate",545.9735433,C11H2F20O2
"double bond perfluoroalkyl (linear) sulfonic aicds, n=6",511.937494,C9HF17O3S
"Potassium 2,2,3,3,4,4,5,5,6,7,7,7-dodecafluoro-6-(trifluoromethyl)heptanoate",413.9737023,C8HF15O2
"1,1,1,2,5,5,5-Heptafluoro-4-iodo-2-(trifluoromethyl)pentane",391.9119801,C6H3F10I
"5-(Perfluoropropyl)-2,2-dimethyl-3,5-pentanedione barium(2+) (2:1)",296.064727,C10H11F7O2
"perfluoropropanesulfonamido sulfonic acid, n=6",520.9636304,C9H8F13NO5S2
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluoro-10-iodotetracosane",770.1277284,C24H32F17I
"2-Propenoic acid, 4-[methyl[(undecafluoropentyl)sulfonyl]amino]butyl ester",489.0467889,C13H14F11NO4S
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-Tricosafluorotridecan-1-ol",613.9973134,C13H5F23O
