Name,Monoisotopic_mass,Formula
"double bond-perfluoroalkyl (linear) carboxylic acids_5_n, n=3",525.9673151,C11HF19O2
"N,N'-bis(Perfluorobutanoyl)1,4-butanediamine",480.0518724,C12H10F14N2O2
"Silane, trimethyl(tridecafluorohexyl)-",392.0265934,C9H9F13Si
"1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane--(E)-1,2-dichloroethene (1/1)",200.0072121,C4H3F7O
"Perfluoroalkyl (linear) dicarboxylic acids, n=14",789.9505981,C16H2F28O4
1-Iodopentadecafluoroheptane,495.880521,C7F15I
"n:1:2 fluorotelomer betaine-related, n=5",731.0563055,C18H13F24NO2
Potassium N-[(heptadecafluorooctyl)sulphonyl]-N-propylglycinate,599.0059079,C13H10F17NO4S
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-Pentacosafluorononacosane",858.2339561,C29H35F25
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluorononyl 2-methylprop-2-enoate",446.0551462,C13H11F13O2
"Ethyl 2-(pentadecafluoroheptyl)imidazo[1,2-a]pyridine-3-carboxylate",558.0424505,C17H9F15N2O2
"Perfluoro-3,4-dimethylhexane",437.9712576,C8F18
"perfluoroalkanesulfonamido quaternary ammonium disulfonate B, n=5",710.0495674,C16H25F11N2O10S3
"1,2,4,5-Tetrafluoro-3-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-nitrobenzene",362.9753385,C9F11NO2
4-(Heptadecafluorooctyl)benzoic acid,540.0018088,C15H5F17O2
[[4-[(Heptadecafluorononenyl)oxy]phenyl]methyl]phosphonic acid,617.9888746,C16H8F17O4P
"5-(Heptafluoropropyl)-3-phenyl-1H-1,2,4-triazole",313.0449946,C11H6F7N3
"Pentafluorosulfide Perfluoroalkyl (linear) carboxylic acids, n=7",521.9393858,C8HF19O2S
"perfluoroalkanesulfonamido quaternary ammonium oxide, n=6",500.0439296,C11H13F13N2O3S
"1-bromo-1h,1h,2h,2h-perfluorooctane",425.9288796,C8H4BrF13
"1,1,1,2,2,3,3,12,12,13,13,14,14,14-Tetradecafluorotetradecane",450.1028453,C14H16F14
10:2 Fluorotelomer sulfonic acid,627.962407,C12H5F21O3S
"Heptaethylene glycol perfluoro-2-isopropyl-1,3-dimethylbut-1-enyl methyl ether",770.1747474,C24H31F17O8
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=6, m=5",840.0989788,C22H21F25O5
"N,N-Dichloro-2,2,3,3,4,4,4-heptafluorobutanamide",280.9245165,C4Cl2F7NO
Perfluoro-5-(pentafluoroethyl)oxolane,315.975753,C6F12O
Perfluoro(4a-(cyclohexylmethyl)decahydronaphthalene),773.952096,C17F30
Triethoxy(henicosafluorodecyl)silane,682.045513,C16H15F21O3Si
"1,1,1,2-Tetrafluoro-2-iodo-2-(trifluoromethoxy)ethane",311.88821,C3F7IO
Trichloro[4-(perfluorooctyl)phenyl]silane,627.887638,C14H4Cl3F17Si
"1H,1H,2H,2H-Perfluorooctyldimethylchlorosilane",440.0032711,C10H10ClF13Si
"Methyl 3,3,4,4,5,5,6,6,6-nonafluoro-2-oxohexanoate",305.9938478,C7H3F9O3
1-Methoxy-4-(nonafluorobutyl)benzene,326.0353186,C11H7F9O
"1,1,1,2,2,3,3-Heptafluoro-5-iododecane",394.0028458,C10H14F7I
"2,2,3,3,4,4,5,5,6,6,7,7,7-Tridecafluoro-N-(3-methoxyphenyl)heptanamide",469.0347451,C14H8F13NO2
2-(Heptafluoropropyl)-1H-imidazole,236.0184455,C6H3F7N2
"1,4-Bis(chloromethyl)-2-(heptafluoropropyl)benzene",341.981303,C11H7Cl2F7
N-Allyl-N-ethyl-perfluorooctanesulfonamide,567.0160787,C13H10F17NO2S
