mz_peak,rt,intensity,norm_intensity,suspect_name,suspect_mass,ppm_error
488.9859461140954,0.640481666667,22442.439453125,0.17570587694879278,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-2-propenyl-",488.9879722,4.143444041119241
646.9615253586799,0.666786666667,13633.595703125,0.10673986194710705,"1-(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-iodooctyl)-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane",646.9658344,6.660429022723414
488.98608506927167,0.615786666667,13502.4560546875,0.10571314615805058,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-2-propenyl-",488.9879722,3.8592728626775905
359.0226216596013,0.71666,12416.8134765625,0.09721345602227793,"3,3,4,4,5,5,5-Heptafluoro-1-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)pentan-2-one",359.021482,3.1743392549121676
359.0225578963157,0.691501666667,11090.0244140625,0.08682578688142757,"3,3,4,4,5,5,5-Heptafluoro-1-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)pentan-2-one",359.021482,2.9967373693378945
646.9609782773437,0.640481666667,10257.6640625,0.08030908864930514,"1-(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-iodooctyl)-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane",646.9658344,7.506051863008454
359.0225494728026,0.666786666667,10162.283203125,0.07956233482267154,"3,3,4,4,5,5,5-Heptafluoro-1-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)pentan-2-one",359.021482,2.973275088667644
646.9615653495291,0.691501666667,9298.146484375,0.07279685372206512,"1-(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-iodooctyl)-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane",646.9658344,6.598615280233088
519.9712401020936,0.666786666667,8360.720703125,0.06545757942824484,1-H-Perflurodecane,519.9742922,5.869743691686501
359.02262165965953,0.742955,8169.2900390625,0.06395883448234692,"3,3,4,4,5,5,5-Heptafluoro-1-(3-methyl-1,3-benzothiazol-2(3H)-ylidene)pentan-2-one",359.021482,3.1743394170397683
489.97512896109123,0.666786666667,6822.11376953125,0.05341155024718186,Perfluorosebacic acid,489.9697597,10.958231905804587
488.9859544373263,0.59012,6786.9912109375,0.05313656944702019,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-2-propenyl-",488.9879722,4.126422559539504
519.9710620193853,0.691501666667,6657.888671875,0.05212580255201878,1-H-Perflurodecane,519.9742922,6.212231508075533
444.97698375953587,0.59012,6222.34033203125,0.04871581661151173,Heptadecafluorononanenitrile,444.9759284,2.3717171323476465
311.1132477729909,4.23712,6000.3193359375,0.046977574478735705,"2,2,3,3,4,4,4-heptafluoro-N-heptan-2-ylbutanamide",311.1120115,3.973707322887255
329.0296780379312,0.666786666667,5842.4482421875,0.045741573417881945,2-Fluoro-4-(nonafluorobutyl)aniline,329.0262312,10.475766051791297
331.00985365012843,0.640481666667,5824.1748046875,0.04559850740371211,"2,3,5-Trifluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-6-methoxypyridine",331.0054957,13.165620540884168
518.968290460511,0.666786666667,5687.922656250001,0.04453176493672801,Sodium 2-((undecafluoropentylsulphonylamino)methyl)benzenesulphonate,518.966824,2.8257227617540828
517.0176175283134,0.640481666667,5542.03515625,0.04338958557708634,N-Ethyl-N-2-propenylperfluoroheptanesulfonamide,517.0192723,3.200609864182192
287.97335943114564,0.59012,5538.005859375,0.04335803949037916,"2,2,3,3,4,4,4-Heptafluorobutyl 2-chloroprop-2-enoate",287.9788045,18.908238127100578
444.97710263452336,0.615786666667,5414.6640625,0.04239237447746346,Heptadecafluorononanenitrile,444.9759284,2.6388650481641984
489.9866792208446,0.640481666667,5404.73779296875,0.04231465993593774,Heptadecafluorooctyl prop-2-enoate,489.9861587,1.0623163174011148
473.0080870533149,0.640481666667,5375.4609375,0.0420854461922543,"4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoroundecanenitrile",473.0072285,1.8150922540490364
311.11214491043154,4.407466666667,5250.412109375,0.04110641652602688,"2,2,3,3,4,4,4-heptafluoro-N-heptan-2-ylbutanamide",311.1120115,0.4288178193207401
313.1068079939961,2.063298333333,5030.86328125,0.039387529438936565,"N-methyl perfluoroalkanesulfonamido quaternary ammonium, n=2",313.1009146,18.822311893608695
489.97506032442635,0.691501666667,5015.34912109375,0.03926606630115818,Perfluorosebacic acid,489.9697597,10.818151484780813
518.9681763980079,0.691501666667,4939.851171875001,0.03867497933830715,Sodium 2-((undecafluoropentylsulphonylamino)methyl)benzenesulphonate,518.966824,2.605936297171779
325.12491140592823,2.958788333333,4906.94384765625,0.038417342004720016,"2,2,3,3,4,4,4-Heptafluoro-N,N-bis(2-methylpropyl)butanamide",325.1276616,8.458884494230858
519.9825381140876,0.640481666667,4883.48486328125,0.03823367741555864,1-H-Perflurodecane,519.9742922,15.858059613754167
325.1247939129554,4.686953333333,4825.2216796875,0.03777752451878685,"2,2,3,3,4,4,4-Heptafluoro-N,N-bis(2-methylpropyl)butanamide",325.1276616,8.820265628161021
660.9635010083919,0.71666,4821.37744140625,0.03774742728894613,"2,3,3,3-Tetrafluoro-2-{1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propoxy}propanamide",660.9616562,2.791089657826967
359.00499607501865,0.640481666667,4808.83935546875,0.03764926436911252,"[S-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-)sulfonimidoyl]benzene",359.0026384,6.567248490705442
313.1068326899857,2.056113333333,4756.6162109375,0.037240400019670813,"N-methyl perfluoroalkanesulfonamido quaternary ammonium, n=2",313.1009146,18.901184413174253
331.99354006062333,0.666786666667,4746.81640625,0.0371636755940512,NSC146413,331.9953268,5.3818498285503145
359.00516053972393,0.76262,4706.11376953125,0.03684500736309824,"[S-(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-)sulfonimidoyl]benzene",359.0026384,7.025357853118765
